,co_name,symbol,market,asset,co_business,cc,amplitude,pe_s_d,co_intro,exchange,mv,pb_d,ps_d,equity,industry
,锦龙股份,000712,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,哈投股份,600864,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,捷顺科技,002609,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,万里马,300591,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,金丹科技,300829,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,华新水泥,600801,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,中国太保,601601,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,重庆钢铁,601005,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,人民网,603000,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,焦点科技,002315,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,万润科技,002654,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,高斯贝尔,002848,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
,方正证券,601901,SH,-,-,-,-,-,-,SH,-,-,-,-,-
,华茂股份,000850,SZ,-,-,-,-,-,-,SZ,-,-,-,-,-
